,arpu_9
15651,166.469
11273,214.063
18259,647.055
18480,18.082
14561,70.352
20866,347.535
17100,165.915
7924,193.361
8918,457.68
11506,150.069
15016,116.946
13030,102.758
15844,750.326
20420,198.568
16845,260.735
7797,50.722
2666,242.272
2761,447.268
19111,217.791
3639,456.146
21273,662.263
14038,304.963
14880,127.792
13039,530.376
8757,816.886
6540,57.978
19589,65.12
22636,163.618
9387,189.464
22404,132.675
20199,126.219
2345,77.436
3122,303.806
5734,48.276
12795,146.678
4224,563.85
13312,23.118
16323,366.558
9035,191.49
19017,80.276
7996,563.4
1934,117.268
11200,220.02
14764,503.518
4638,0.0
10822,8.0
8345,386.315
22294,266.67
14124,569.392
14399,238.95
20693,234.184
6879,741.901
15248,124.1
3722,102.816
4063,1.742
745,334.374
12463,471.187
11948,106.11
4505,301.749
18221,732.592
21127,828.789
8754,212.477
18982,338.997
6842,550.039
15310,100.098
4589,70.699
18549,105.71
17448,259.031
1924,31.959
19307,137.476
17294,97.375
19496,211.521
13958,38.7
7951,0.0
12392,150.392
13239,448.769
18686,334.541
11654,254.24
13728,830.039
16385,75.306
18698,135.017
13677,326.4
5959,199.688
3943,52.7
11517,402.114
18708,387.039
5248,168.163
9371,50.05
17365,90.141
8040,288.925
8847,82.548
7569,248.635
5124,553.727
4102,804.328
20202,780.142
12671,491.202
11587,176.525
4915,175.227
14520,155.278
18921,577.696
1028,36.345
21522,187.15
20579,205.064
22088,71.656
22731,175.932
10500,26.211
22732,334.612
18106,54.604
6768,360.539
8025,14.946
11323,253.354
14093,228.365
9509,122.729
8966,181.096
19993,339.107
7745,24.4
11407,167.322
454,110.99
22653,607.266
1131,184.546
10368,110.453
9925,264.167
6130,286.584
3314,177.238
1985,621.632
12580,490.79
13709,194.105
5333,283.559
6180,698.724
8233,103.186
15985,452.984
22951,274.291
5814,121.947
9725,169.442
9932,348.12
21270,281.897
14990,419.666
5285,163.784
5127,67.368
3233,103.046
22158,0.2
7217,225.03
20844,132.989
2326,87.6
4791,231.84
1195,554.631
14948,284.515
15098,29.089
15712,734.534
14059,11.66
3941,38.636
15564,178.408
6012,19.234
20296,100.17
3596,420.624
20280,94.802
7776,514.846
4499,102.493
18262,392.21
16654,135.54
6214,183.783
7089,636.472
22739,118.71
21940,490.283
1732,0.0
9449,1.5
6016,186.078
5796,71.284
16074,0.13
4933,388.501
10069,407.216
8460,110.25
1043,26.732
11950,510.393
18656,493.828
1730,341.233
1944,170.3
4749,209.807
3096,174.05
3635,215.937
8856,303.252
6708,724.777
8019,367.002
11145,221.796
12538,251.964
7083,34.495
11113,336.909
3873,184.622
13437,605.551
5972,0.0
22298,209.274
18310,87.113
14612,9.094
19281,69.848
12728,464.842
11436,360.883
14648,222.08
7227,231.674
22970,355.128
14374,126.23
21438,410.103
3358,343.473
15827,693.019
9689,112.391
14803,32.896
8117,236.115
17752,26.764
21711,587.363
5593,97.555
834,469.904
6731,146.21
13031,205.585
14501,628.367
15481,177.131
10919,81.443
5494,339.025
6175,523.214
18669,201.506
3844,154.087
17581,175.849
21588,91.02
5079,90.526
19464,129.016
3831,195.386
8176,383.411
1951,883.982
10729,204.716
19359,0.0
10228,376.998
16727,82.335
9052,319.387
12119,350.539
6649,804.815
16896,468.052
19076,292.651
3687,455.947
3278,76.511
6470,63.445
19715,141.496
18313,122.123
12707,345.659
