,10
loc_og_t2o_mou,0.0
std_og_t2o_mou,0.0
loc_ic_t2o_mou,0.0
arpu_6,119.518
arpu_7,247.435
arpu_8,170.231
arpu_9,160.042
onnet_mou_6,33.89
onnet_mou_7,30.11
onnet_mou_8,22.43
onnet_mou_9,27.84
offnet_mou_6,63.48
offnet_mou_7,54.16
offnet_mou_8,78.34
offnet_mou_9,123.48
roam_ic_mou_6,0.0
roam_ic_mou_7,0.0
roam_ic_mou_8,0.0
roam_ic_mou_9,0.0
roam_og_mou_6,0.0
roam_og_mou_7,0.0
roam_og_mou_8,0.0
roam_og_mou_9,0.0
loc_og_t2t_mou_6,33.89
loc_og_t2t_mou_7,30.11
loc_og_t2t_mou_8,22.43
loc_og_t2t_mou_9,27.84
loc_og_t2m_mou_6,38.03
loc_og_t2m_mou_7,40.06
loc_og_t2m_mou_8,34.93
loc_og_t2m_mou_9,37.26
loc_og_t2f_mou_6,0.0
loc_og_t2f_mou_7,0.0
loc_og_t2f_mou_8,0.0
loc_og_t2f_mou_9,0.0
loc_og_t2c_mou_6,0.0
loc_og_t2c_mou_7,0.0
loc_og_t2c_mou_8,0.0
loc_og_t2c_mou_9,0.0
loc_og_mou_6,71.93
loc_og_mou_7,70.18
loc_og_mou_8,57.36
loc_og_mou_9,65.11
std_og_t2t_mou_6,0.0
std_og_t2t_mou_7,0.0
std_og_t2t_mou_8,0.0
std_og_t2t_mou_9,0.0
std_og_t2m_mou_6,25.45
std_og_t2m_mou_7,14.09
std_og_t2m_mou_8,43.41
std_og_t2m_mou_9,83.26
std_og_t2f_mou_6,0.0
std_og_t2f_mou_7,0.0
std_og_t2f_mou_8,0.0
std_og_t2f_mou_9,2.94
std_og_t2c_mou_6,0.0
std_og_t2c_mou_7,0.0
std_og_t2c_mou_8,0.0
std_og_t2c_mou_9,0.0
std_og_mou_6,25.45
std_og_mou_7,14.09
std_og_mou_8,43.41
std_og_mou_9,86.21
isd_og_mou_6,0.0
isd_og_mou_7,0.0
isd_og_mou_8,0.0
isd_og_mou_9,0.0
spl_og_mou_6,0.66
spl_og_mou_7,0.0
spl_og_mou_8,0.0
spl_og_mou_9,0.0
og_others_6,0.0
og_others_7,0.0
og_others_8,0.0
og_others_9,0.0
total_og_mou_6,98.04
total_og_mou_7,84.28
total_og_mou_8,100.78
total_og_mou_9,151.33
loc_ic_t2t_mou_6,129.34
loc_ic_t2t_mou_7,124.34
loc_ic_t2t_mou_8,49.93
loc_ic_t2t_mou_9,313.38
loc_ic_t2m_mou_6,132.94
loc_ic_t2m_mou_7,96.24
loc_ic_t2m_mou_8,122.58
loc_ic_t2m_mou_9,65.06
loc_ic_t2f_mou_6,0.4
loc_ic_t2f_mou_7,0.0
loc_ic_t2f_mou_8,0.0
loc_ic_t2f_mou_9,0.48
loc_ic_mou_6,262.69
loc_ic_mou_7,220.59
loc_ic_mou_8,172.51
loc_ic_mou_9,378.93
std_ic_t2t_mou_6,0.3
std_ic_t2t_mou_7,0.0
std_ic_t2t_mou_8,0.0
std_ic_t2t_mou_9,4.38
std_ic_t2m_mou_6,32.86
std_ic_t2m_mou_7,78.21
std_ic_t2m_mou_8,1.74
std_ic_t2m_mou_9,1.18
std_ic_t2f_mou_6,0.0
std_ic_t2f_mou_7,0.0
std_ic_t2f_mou_8,0.0
std_ic_t2f_mou_9,0.0
std_ic_t2o_mou_6,0.0
std_ic_t2o_mou_7,0.0
std_ic_t2o_mou_8,0.0
std_ic_t2o_mou_9,0.0
std_ic_mou_6,33.16
std_ic_mou_7,78.21
std_ic_mou_8,1.74
std_ic_mou_9,5.56
total_ic_mou_6,303.98
total_ic_mou_7,327.31
total_ic_mou_8,219.86
total_ic_mou_9,412.63
spl_ic_mou_6,0.0
spl_ic_mou_7,0.0
spl_ic_mou_8,0.0
spl_ic_mou_9,0.0
isd_ic_mou_6,8.11
isd_ic_mou_7,28.49
isd_ic_mou_8,45.59
isd_ic_mou_9,28.13
ic_others_6,0.0
ic_others_7,0.0
ic_others_8,0.0
ic_others_9,0.0
total_rech_num_6,4.0
total_rech_num_7,2.0
total_rech_num_8,5.0
total_rech_num_9,3.0
total_rech_amt_6,220.0
total_rech_amt_7,195.0
total_rech_amt_8,210.0
total_rech_amt_9,180.0
max_rech_amt_6,110.0
max_rech_amt_7,154.0
max_rech_amt_8,50.0
max_rech_amt_9,130.0
last_day_rch_amt_6,110.0
last_day_rch_amt_7,154.0
last_day_rch_amt_8,30.0
last_day_rch_amt_9,50.0
vol_2g_mb_6,0.0
vol_2g_mb_7,7.37
vol_2g_mb_8,0.0
vol_2g_mb_9,0.0
vol_3g_mb_6,0.0
vol_3g_mb_7,0.0
vol_3g_mb_8,0.0
vol_3g_mb_9,0.0
monthly_2g_6,0.0
monthly_2g_7,1.0
monthly_2g_8,0.0
monthly_2g_9,0.0
sachet_2g_6,0.0
sachet_2g_7,0.0
sachet_2g_8,0.0
sachet_2g_9,0.0
monthly_3g_6,0.0
monthly_3g_7,0.0
monthly_3g_8,0.0
monthly_3g_9,0.0
sachet_3g_6,0.0
sachet_3g_7,0.0
sachet_3g_8,0.0
sachet_3g_9,0.0
aon,902.0
aug_vbc_3g,0.0
jul_vbc_3g,0.0
jun_vbc_3g,0.0
sep_vbc_3g,0.0
